_id,clave_entidad,entidad_federativa,clave_municipio,municipio,grupo,poblacion,pobreza_porcentaje,carencia_rezago_educativo_porcentaje,carencia_servicios_de_salud_porcentaje,carencia_seguridad_social_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,carencia_servicios_basicos_vivienda_porcentaje,carencia_alimentacion_nutritiva_calidad_porcentaje,ingreso_inferior_a_lpi_porcentaje,periodo,entidad,entidad_federativa_etq
989,20,Oaxaca,20013,Ciénega de Zimatlán,Población indígena,66,84.30303,30.30303,-999.0,87.878788,-999.0,63.636364,-999.0,85.80303,2020-01-01,Oaxaca,Oaxaca
990,20,Oaxaca,20014,Ciudad Ixtepec,Población indígena,10551,36.664263,22.925351,34.014018,52.643026,13.80058,32.312069,24.372655,41.183823,2020-01-01,Oaxaca,Oaxaca
991,20,Oaxaca,20015,Coatecas Altas,Población indígena,3433,96.199345,55.489438,31.567986,86.075573,43.141922,83.576317,18.595656,96.481404,2020-01-01,Oaxaca,Oaxaca
992,20,Oaxaca,20016,Coicoyán de las Flores,Población indígena,9556,99.324503,54.238754,16.144031,89.165225,66.544118,93.360727,49.82699,99.395761,2020-01-01,Oaxaca,Oaxaca
993,20,Oaxaca,20017,La Compañía,Población indígena,60,92.949153,35.59322,-999.0,91.525424,64.40678,88.135593,-999.0,92.949153,2020-01-01,Oaxaca,Oaxaca
994,20,Oaxaca,20018,Concepción Buenavista,Población indígena,32,-999.0,-999.0,-999.0,87.5,-999.0,-999.0,-999.0,-999.0,2020-01-01,Oaxaca,Oaxaca
995,20,Oaxaca,20019,Concepción Pápalo,Población indígena,1898,94.246228,51.239224,-999.0,70.096983,23.653017,47.952586,31.734914,96.175108,2020-01-01,Oaxaca,Oaxaca
996,20,Oaxaca,20020,Constancia del Rosario,Población indígena,3295,89.743573,45.794986,-999.0,87.591241,53.792447,88.892415,55.410981,89.993653,2020-01-01,Oaxaca,Oaxaca
997,20,Oaxaca,20021,Cosolapa,Población indígena,1648,78.397117,41.54002,33.741209,79.65421,25.148895,72.762774,39.527539,79.318585,2020-01-01,Oaxaca,Oaxaca
1194,20,Oaxaca,20221,San Juan Teposcolula,Población indígena,65,79.015625,28.125,-999.0,82.8125,-999.0,-999.0,-999.0,79.015625,2020-01-01,Oaxaca,Oaxaca
999,20,Oaxaca,20023,Cuilápam de Guerrero,Población indígena,4856,64.073039,24.626496,52.179054,81.446635,40.264739,80.160223,28.928794,65.339847,2020-01-01,Oaxaca,Oaxaca
1000,20,Oaxaca,20024,Cuyamecalco Villa de Zaragoza,Población indígena,1547,96.875744,64.705882,27.230668,75.545274,36.02115,68.803701,38.863186,97.175149,2020-01-01,Oaxaca,Oaxaca
1001,20,Oaxaca,20025,Chahuites,Población indígena,1491,66.169599,35.484363,52.261556,74.034296,-999.0,66.043735,27.575341,67.389021,2020-01-01,Oaxaca,Oaxaca
1002,20,Oaxaca,20026,Chalcatongo de Hidalgo,Población indígena,6331,86.254073,26.036457,25.036296,74.931441,21.455073,76.851105,30.843684,87.673818,2020-01-01,Oaxaca,Oaxaca
1003,20,Oaxaca,20027,Chiquihuitlán de Benito Juárez,Población indígena,1742,89.175479,51.307379,18.070889,78.907612,19.058687,50.784428,41.255084,90.163858,2020-01-01,Oaxaca,Oaxaca
1004,20,Oaxaca,20028,Heroica Ciudad de Ejutla de Crespo,Población indígena,518,62.364047,20.9981,63.418589,76.827436,-999.0,57.159382,-999.0,63.480469,2020-01-01,Oaxaca,Oaxaca
1005,20,Oaxaca,20029,Eloxochitlán de Flores Magón,Población indígena,4177,91.365806,46.61471,11.95811,86.020458,49.41549,86.166585,17.023868,91.967121,2020-01-01,Oaxaca,Oaxaca
1006,20,Oaxaca,20030,El Espinal,Población indígena,5925,22.429698,16.426612,16.409465,37.465706,7.990398,6.772977,12.928669,29.042181,2020-01-01,Oaxaca,Oaxaca
1007,20,Oaxaca,20031,Tamazulápam del Espíritu Santo,Población indígena,7178,88.78074,42.467949,19.667832,81.453963,20.250583,59.353147,-999.0,93.028555,2020-01-01,Oaxaca,Oaxaca
1008,20,Oaxaca,20032,Fresnillo de Trujano,Población indígena,3,-999.0,-999.0,-888.0,-888.0,-888.0,-888.0,-888.0,-999.0,2020-01-01,Oaxaca,Oaxaca
1009,20,Oaxaca,20033,Guadalupe Etla,Población indígena,362,54.973988,30.346821,62.716763,76.878613,27.16763,47.398844,-999.0,56.739884,2020-01-01,Oaxaca,Oaxaca
1010,20,Oaxaca,20034,Guadalupe de Ramírez,Población indígena,50,69.387755,42.857143,-999.0,75.510204,-888.0,65.306122,38.77551,71.183673,2020-01-01,Oaxaca,Oaxaca
1011,20,Oaxaca,20035,Guelatao de Juárez,Población indígena,241,-999.0,7.425743,8.910891,43.564356,4.455446,3.465347,4.950495,-999.0,2020-01-01,Oaxaca,Oaxaca
1012,20,Oaxaca,20036,Guevea de Humboldt,Población indígena,4327,81.416706,39.042703,10.581886,83.08306,24.519005,57.156265,51.431253,82.052088,2020-01-01,Oaxaca,Oaxaca
1013,20,Oaxaca,20037,Mesones Hidalgo,Población indígena,2193,94.413906,50.909939,11.94587,88.05413,45.356976,96.220252,-999.0,94.436304,2020-01-01,Oaxaca,Oaxaca
1014,20,Oaxaca,20038,Villa Hidalgo,Población indígena,1855,77.5044,38.943894,34.048405,79.812981,20.462046,32.948295,9.29593,80.666667,2020-01-01,Oaxaca,Oaxaca
1015,20,Oaxaca,20039,Heroica Ciudad de Huajuapan de León,Población indígena,9973,51.611148,16.719723,52.398844,67.224196,-999.0,19.828353,25.443623,57.754536,2020-01-01,Oaxaca,Oaxaca
1016,20,Oaxaca,20040,Huautepec,Población indígena,6372,97.501586,47.033629,17.211294,91.275381,47.319162,95.891497,68.670685,97.640228,2020-01-01,Oaxaca,Oaxaca
1017,20,Oaxaca,20041,Huautla de Jiménez,Población indígena,30966,82.993552,37.840061,27.102865,64.653443,43.03431,71.972762,36.997928,86.088358,2020-01-01,Oaxaca,Oaxaca
1018,20,Oaxaca,20042,Ixtlán de Juárez,Población indígena,5683,84.665397,26.296699,15.705477,82.299601,33.206384,38.411317,7.109177,88.02539,2020-01-01,Oaxaca,Oaxaca
1019,20,Oaxaca,20043,Juchitán de Zaragoza,Población indígena,87102,52.687582,24.302557,53.028382,67.996163,19.034642,30.530069,33.990019,55.861056,2020-01-01,Oaxaca,Oaxaca
1020,20,Oaxaca,20044,Loma Bonita,Población indígena,3294,78.872448,41.124909,41.098658,75.325536,-999.0,51.865502,41.275573,81.346091,2020-01-01,Oaxaca,Oaxaca
1021,20,Oaxaca,20045,Magdalena Apasco,Población indígena,590,23.006849,-999.0,24.486301,45.034247,-999.0,-999.0,-999.0,26.655822,2020-01-01,Oaxaca,Oaxaca
1022,20,Oaxaca,20046,Magdalena Jaltepec,Población indígena,456,91.306306,39.414414,-999.0,79.954955,24.099099,91.216216,28.378378,92.349099,2020-01-01,Oaxaca,Oaxaca
1023,20,Oaxaca,20047,Santa Magdalena Jicotlán,Población indígena,1,-999.0,-888.0,100.0,100.0,-888.0,-888.0,100.0,-999.0,2020-01-01,Oaxaca,Oaxaca
1024,20,Oaxaca,20048,Magdalena Mixtepec,Población indígena,186,92.366667,43.333333,-999.0,78.888889,-999.0,96.666667,15.0,92.366667,2020-01-01,Oaxaca,Oaxaca
1025,20,Oaxaca,20049,Magdalena Ocotlán,Población indígena,289,73.201413,34.275618,48.056537,58.303887,29.328622,81.978799,14.134276,75.480565,2020-01-01,Oaxaca,Oaxaca
1026,20,Oaxaca,20050,Magdalena Peñasco,Población indígena,3742,91.36851,36.682571,13.134999,71.568903,22.256525,94.948077,-999.0,92.182992,2020-01-01,Oaxaca,Oaxaca
1027,20,Oaxaca,20051,Magdalena Teitipac,Población indígena,4736,94.206034,61.077586,43.405172,90.969828,36.487069,83.512931,10.409483,94.342241,2020-01-01,Oaxaca,Oaxaca
1028,20,Oaxaca,20052,Magdalena Tequisistlán,Población indígena,583,55.596491,32.982456,24.035088,61.754386,20.526316,50.701754,17.894737,62.414035,2020-01-01,Oaxaca,Oaxaca
1029,20,Oaxaca,20053,Magdalena Tlacotepec,Población indígena,456,40.486607,36.160714,31.919643,35.714286,-999.0,35.9375,-999.0,45.8125,2020-01-01,Oaxaca,Oaxaca
1030,20,Oaxaca,20054,Magdalena Zahuatlán,Población indígena,10,-999.0,20.0,10.0,80.0,-888.0,30.0,40.0,-999.0,2020-01-01,Oaxaca,Oaxaca
1031,20,Oaxaca,20055,Mariscala de Juárez,Población indígena,40,-999.0,28.205128,-999.0,79.487179,-999.0,-999.0,-999.0,-999.0,2020-01-01,Oaxaca,Oaxaca
1032,20,Oaxaca,20056,Mártires de Tacubaya,Población indígena,82,74.0,39.506173,13.580247,85.185185,58.024691,-999.0,-999.0,75.432099,2020-01-01,Oaxaca,Oaxaca
1033,20,Oaxaca,20057,Matías Romero Avendaño,Población indígena,11507,76.702611,33.542836,41.728379,65.209441,16.465806,67.552315,34.956545,79.732477,2020-01-01,Oaxaca,Oaxaca
1034,20,Oaxaca,20058,Mazatlán Villa de Flores,Población indígena,12468,95.826481,45.508786,11.033919,81.700041,54.172456,72.913772,44.225582,96.778586,2020-01-01,Oaxaca,Oaxaca
1035,20,Oaxaca,20059,Miahuatlán de Porfirio Díaz,Población indígena,12108,75.936569,32.104845,66.493235,80.56153,26.577069,55.028103,29.867855,78.669417,2020-01-01,Oaxaca,Oaxaca
1036,20,Oaxaca,20060,Mixistlán de la Reforma,Población indígena,2488,89.289885,28.166118,13.322368,83.059211,22.245066,75.328947,-999.0,90.594984,2020-01-01,Oaxaca,Oaxaca
1037,20,Oaxaca,20061,Monjas,Población indígena,170,78.005988,35.928144,22.754491,91.616766,-999.0,54.491018,-999.0,78.407186,2020-01-01,Oaxaca,Oaxaca
1038,20,Oaxaca,20062,Natividad,Población indígena,250,-999.0,22.983871,13.709677,58.467742,8.870968,15.725806,9.274194,-999.0,2020-01-01,Oaxaca,Oaxaca
1039,20,Oaxaca,20063,Nazareno Etla,Población indígena,106,47.883495,-999.0,-999.0,47.572816,-999.0,-999.0,-999.0,56.883495,2020-01-01,Oaxaca,Oaxaca
1040,20,Oaxaca,20064,Nejapa de Madero,Población indígena,3042,78.681987,39.540385,-999.0,63.332207,41.635688,72.862454,-999.0,80.304157,2020-01-01,Oaxaca,Oaxaca
1041,20,Oaxaca,20065,Ixpantepec Nieves,Población indígena,1037,85.592079,52.178218,48.613861,71.386139,19.80198,54.356436,29.108911,86.389109,2020-01-01,Oaxaca,Oaxaca
1042,20,Oaxaca,20066,Santiago Niltepec,Población indígena,175,-999.0,39.053254,-999.0,60.946746,-999.0,-999.0,-999.0,63.816568,2020-01-01,Oaxaca,Oaxaca
1043,20,Oaxaca,20067,Oaxaca de Juárez,Población indígena,52808,47.585686,16.164471,55.391873,67.926284,18.071158,22.688903,26.032166,51.690015,2020-01-01,Oaxaca,Oaxaca
1044,20,Oaxaca,20068,Ocotlán de Morelos,Población indígena,2298,68.818987,33.287744,59.706254,78.434144,27.184598,62.655984,-999.0,70.052855,2020-01-01,Oaxaca,Oaxaca
1045,20,Oaxaca,20069,La Pe,Población indígena,31,87.096774,-999.0,-999.0,96.774194,-999.0,83.870968,-999.0,87.096774,2020-01-01,Oaxaca,Oaxaca
1046,20,Oaxaca,20070,Pinotepa de Don Luis,Población indígena,6100,86.062823,31.394768,14.964173,79.986669,34.560907,77.12048,43.692718,88.370605,2020-01-01,Oaxaca,Oaxaca
1047,20,Oaxaca,20071,Pluma Hidalgo,Población indígena,300,83.698305,48.813559,29.830508,91.525424,65.762712,93.220339,50.169492,83.854237,2020-01-01,Oaxaca,Oaxaca
1176,20,Oaxaca,20203,San Juan Lachigalla,Población indígena,66,93.833333,28.787879,-999.0,98.484848,-999.0,95.454545,-999.0,93.833333,2020-01-01,Oaxaca,Oaxaca
1048,20,Oaxaca,20072,San José del Progreso,Población indígena,1245,90.122634,42.716049,-999.0,84.526749,32.839506,86.419753,49.876543,90.241152,2020-01-01,Oaxaca,Oaxaca
1049,20,Oaxaca,20073,Putla Villa de Guerrero,Población indígena,13051,85.374295,23.260266,32.653506,75.440588,20.655471,86.28904,46.088933,86.017613,2020-01-01,Oaxaca,Oaxaca
1050,20,Oaxaca,20074,Santa Catarina Quioquitani,Población indígena,455,95.833333,26.444444,3.111111,86.666667,11.111111,59.777778,13.333333,97.793333,2020-01-01,Oaxaca,Oaxaca
1051,20,Oaxaca,20075,Reforma de Pineda,Población indígena,163,56.993671,29.746835,14.556962,51.265823,-999.0,-999.0,32.911392,63.481013,2020-01-01,Oaxaca,Oaxaca
1052,20,Oaxaca,20076,La Reforma,Población indígena,111,72.504587,36.697248,-999.0,86.238532,-999.0,78.899083,47.706422,72.504587,2020-01-01,Oaxaca,Oaxaca
1053,20,Oaxaca,20077,Reyes Etla,Población indígena,370,57.870879,21.703297,36.813187,87.637363,38.461538,40.934066,36.263736,58.115385,2020-01-01,Oaxaca,Oaxaca
1054,20,Oaxaca,20078,Rojas de Cuauhtémoc,Población indígena,54,-999.0,-999.0,-999.0,69.811321,-999.0,60.377358,-999.0,-999.0,2020-01-01,Oaxaca,Oaxaca
1055,20,Oaxaca,20079,Salina Cruz,Población indígena,10232,31.420753,26.04841,33.582443,50.407568,16.1107,35.369786,31.715693,36.175645,2020-01-01,Oaxaca,Oaxaca
1056,20,Oaxaca,20080,San Agustín Amatengo,Población indígena,27,-999.0,-999.0,-999.0,100.0,-999.0,-999.0,-999.0,-999.0,2020-01-01,Oaxaca,Oaxaca
1057,20,Oaxaca,20081,San Agustín Atenango,Población indígena,1590,71.825589,49.586251,25.143221,70.464672,19.987269,63.462763,32.972629,72.885423,2020-01-01,Oaxaca,Oaxaca
1058,20,Oaxaca,20082,San Agustín Chayuco,Población indígena,2824,79.188917,30.622526,19.215545,72.580065,22.670025,83.267362,46.20367,79.867938,2020-01-01,Oaxaca,Oaxaca
1059,20,Oaxaca,20083,San Agustín de las Juntas,Población indígena,2236,43.107485,16.860531,53.227272,66.604014,31.339262,26.509868,23.900757,45.917697,2020-01-01,Oaxaca,Oaxaca
1060,20,Oaxaca,20084,San Agustín Etla,Población indígena,217,40.394366,14.553991,33.333333,50.704225,-999.0,-999.0,-999.0,45.483568,2020-01-01,Oaxaca,Oaxaca
1061,20,Oaxaca,20085,San Agustín Loxicha,Población indígena,25743,96.093952,40.475907,12.905017,91.996827,70.10113,90.116994,42.343843,96.273052,2020-01-01,Oaxaca,Oaxaca
1062,20,Oaxaca,20086,San Agustín Tlacotepec,Población indígena,938,83.018868,18.278302,24.292453,67.45283,25.707547,84.669811,24.528302,84.778302,2020-01-01,Oaxaca,Oaxaca
1063,20,Oaxaca,20087,San Agustín Yatareni,Población indígena,1532,83.7045,34.452653,60.913365,78.106111,41.90732,62.323707,15.31229,85.204164,2020-01-01,Oaxaca,Oaxaca
1064,20,Oaxaca,20088,San Andrés Cabecera Nueva,Población indígena,210,88.932692,29.807692,-999.0,85.096154,-999.0,92.307692,28.365385,89.360577,2020-01-01,Oaxaca,Oaxaca
1065,20,Oaxaca,20089,San Andrés Dinicuiti,Población indígena,93,89.483146,30.337079,58.426966,79.775281,-999.0,65.168539,-999.0,91.348315,2020-01-01,Oaxaca,Oaxaca
1066,20,Oaxaca,20090,San Andrés Huaxpaltepec,Población indígena,3161,80.629606,26.858436,24.757595,76.0181,26.729153,80.866193,33.451842,82.190368,2020-01-01,Oaxaca,Oaxaca
1067,20,Oaxaca,20091,San Andrés Huayápam,Población indígena,1287,44.866775,18.602762,40.698619,66.450041,17.059301,-999.0,-999.0,49.536149,2020-01-01,Oaxaca,Oaxaca
1068,20,Oaxaca,20092,San Andrés Ixtlahuaca,Población indígena,531,69.937381,29.791271,44.971537,52.941176,28.462998,87.096774,11.954459,70.757116,2020-01-01,Oaxaca,Oaxaca
1069,20,Oaxaca,20093,San Andrés Lagunas,Población indígena,6,53.666667,-999.0,-888.0,-999.0,-999.0,-999.0,-888.0,-999.0,2020-01-01,Oaxaca,Oaxaca
1070,20,Oaxaca,20094,San Andrés Nuxiño,Población indígena,951,96.876333,25.479744,15.138593,67.164179,10.021322,99.147122,30.063966,96.876333,2020-01-01,Oaxaca,Oaxaca
1071,20,Oaxaca,20095,San Andrés Paxtlán,Población indígena,4135,95.01345,41.295143,20.971357,83.81071,38.82939,92.4533,28.841843,95.29066,2020-01-01,Oaxaca,Oaxaca
1072,20,Oaxaca,20096,San Andrés Sinaxtla,Población indígena,56,-999.0,25.454545,21.818182,52.727273,14.545455,20.0,-999.0,-999.0,2020-01-01,Oaxaca,Oaxaca
1073,20,Oaxaca,20097,San Andrés Solaga,Población indígena,1755,76.219251,38.799762,29.768271,72.370766,-999.0,32.917409,2.257873,81.774807,2020-01-01,Oaxaca,Oaxaca
1074,20,Oaxaca,20098,San Andrés Teotilálpam,Población indígena,3206,91.501913,38.998724,21.906888,85.140306,33.641582,91.581633,49.107143,91.705676,2020-01-01,Oaxaca,Oaxaca
1075,20,Oaxaca,20099,San Andrés Tepetlapa,Población indígena,1,-999.0,100.0,-888.0,-888.0,-888.0,100.0,-888.0,-999.0,2020-01-01,Oaxaca,Oaxaca
1076,20,Oaxaca,20100,San Andrés Yaá,Población indígena,393,78.250639,44.757033,15.345269,52.173913,-999.0,60.869565,-999.0,81.585678,2020-01-01,Oaxaca,Oaxaca
1077,20,Oaxaca,20101,San Andrés Zabache,Población indígena,244,87.702929,55.230126,41.841004,75.313808,41.422594,87.447699,37.656904,87.702929,2020-01-01,Oaxaca,Oaxaca
1078,20,Oaxaca,20102,San Andrés Zautla,Población indígena,751,57.149596,23.180593,30.727763,77.628032,36.522911,68.598383,29.245283,57.940701,2020-01-01,Oaxaca,Oaxaca
1079,20,Oaxaca,20103,San Antonino Castillo Velasco,Población indígena,1913,72.501338,46.013911,51.792402,75.494917,46.655966,75.066881,34.296415,73.233815,2020-01-01,Oaxaca,Oaxaca
1080,20,Oaxaca,20104,San Antonino el Alto,Población indígena,1866,91.398015,31.642778,-999.0,75.799338,29.933848,97.684675,17.199559,91.651599,2020-01-01,Oaxaca,Oaxaca
1081,20,Oaxaca,20105,San Antonino Monte Verde,Población indígena,7605,93.746744,21.486706,17.783505,88.483451,17.79707,63.659794,42.322301,94.376831,2020-01-01,Oaxaca,Oaxaca
1082,20,Oaxaca,20106,San Antonio Acutla,Población indígena,41,68.7,-999.0,-999.0,-999.0,-888.0,-999.0,-999.0,83.75,2020-01-01,Oaxaca,Oaxaca
1083,20,Oaxaca,20107,San Antonio de la Cal,Población indígena,5973,54.396528,19.952539,59.410835,70.296221,18.195259,25.668016,25.094425,58.588084,2020-01-01,Oaxaca,Oaxaca
1084,20,Oaxaca,20108,San Antonio Huitepec,Población indígena,1990,88.435263,28.105263,22.631579,51.894737,26.894737,72.631579,31.421053,92.907368,2020-01-01,Oaxaca,Oaxaca
1085,20,Oaxaca,20109,San Antonio Nanahuatípam,Población indígena,208,57.048544,28.15534,-999.0,57.76699,-999.0,67.475728,37.864078,59.815534,2020-01-01,Oaxaca,Oaxaca
1086,20,Oaxaca,20110,San Antonio Sinicahua,Población indígena,1656,96.354206,31.246047,44.845035,82.099937,24.035421,96.963947,32.700822,96.392157,2020-01-01,Oaxaca,Oaxaca
1087,20,Oaxaca,20111,San Antonio Tepetlapa,Población indígena,4540,94.339945,29.95896,16.005472,82.991336,36.20611,91.153671,37.232102,95.024852,2020-01-01,Oaxaca,Oaxaca
1088,20,Oaxaca,20112,San Baltazar Chichicápam,Población indígena,2548,85.9728,30.0,42.72,68.44,19.84,66.08,22.0,89.6228,2020-01-01,Oaxaca,Oaxaca
1089,20,Oaxaca,20113,San Baltazar Loxicha,Población indígena,1123,86.638838,48.548094,15.154265,76.588022,15.789474,93.012704,19.509982,86.842105,2020-01-01,Oaxaca,Oaxaca
1090,20,Oaxaca,20114,San Baltazar Yatzachi el Bajo,Población indígena,656,73.227907,37.364341,18.75969,58.604651,-999.0,51.162791,-999.0,80.15814,2020-01-01,Oaxaca,Oaxaca
1091,20,Oaxaca,20115,San Bartolo Coyotepec,Población indígena,972,51.898334,22.154307,53.505425,72.909018,27.730807,40.235188,22.12147,55.562353,2020-01-01,Oaxaca,Oaxaca
1092,20,Oaxaca,20116,San Bartolomé Ayautla,Población indígena,4108,97.29749,43.94685,20.866142,87.795276,59.325787,98.326772,55.634843,97.369341,2020-01-01,Oaxaca,Oaxaca
1093,20,Oaxaca,20117,San Bartolomé Loxicha,Población indígena,2001,80.899899,36.569416,4.325956,70.875252,31.589537,75.100604,28.571429,84.556338,2020-01-01,Oaxaca,Oaxaca
1094,20,Oaxaca,20118,San Bartolomé Quialana,Población indígena,2361,75.219616,51.684435,53.26226,71.343284,17.484009,61.321962,6.012793,77.439232,2020-01-01,Oaxaca,Oaxaca
1095,20,Oaxaca,20119,San Bartolomé Yucuañe,Población indígena,699,85.927007,26.569343,19.854015,71.678832,38.394161,80.0,33.576642,88.424818,2020-01-01,Oaxaca,Oaxaca
1096,20,Oaxaca,20120,San Bartolomé Zoogocho,Población indígena,426,85.57037,30.0,36.296296,66.666667,25.185185,66.296296,24.444444,88.237037,2020-01-01,Oaxaca,Oaxaca
1097,20,Oaxaca,20121,San Bartolo Soyaltepec,Población indígena,317,58.378981,31.528662,25.796178,55.732484,-999.0,17.834395,52.547771,63.461783,2020-01-01,Oaxaca,Oaxaca
1098,20,Oaxaca,20122,San Bartolo Yautepec,Población indígena,310,82.243506,27.597403,18.831169,61.688312,35.714286,42.532468,-999.0,87.607143,2020-01-01,Oaxaca,Oaxaca
1099,20,Oaxaca,20123,San Bernardo Mixtepec,Población indígena,206,89.413793,38.916256,-999.0,72.413793,36.945813,85.714286,-999.0,90.684729,2020-01-01,Oaxaca,Oaxaca
1100,20,Oaxaca,20124,San Blas Atempa,Población indígena,15425,68.730247,40.358362,31.343934,82.184697,44.43422,71.798634,44.705745,70.44584,2020-01-01,Oaxaca,Oaxaca
1101,20,Oaxaca,20125,San Carlos Yautepec,Población indígena,6818,94.284499,36.415966,24.670161,85.254488,-999.0,63.270661,39.757715,94.562127,2020-01-01,Oaxaca,Oaxaca
1102,20,Oaxaca,20126,San Cristóbal Amatlán,Población indígena,5049,93.827929,36.562562,10.344142,52.297593,37.875472,94.827929,38.591605,94.350905,2020-01-01,Oaxaca,Oaxaca
1103,20,Oaxaca,20127,San Cristóbal Amoltepec,Población indígena,1178,95.788756,27.597956,21.550256,80.068143,28.194208,98.040886,18.143101,95.954003,2020-01-01,Oaxaca,Oaxaca
1104,20,Oaxaca,20128,San Cristóbal Lachirioag,Población indígena,1309,70.397893,36.952998,37.601297,73.905997,6.807131,19.04376,6.564019,73.337115,2020-01-01,Oaxaca,Oaxaca
1105,20,Oaxaca,20129,San Cristóbal Suchixtlahuaca,Población indígena,39,79.763158,5.263158,2.631579,89.473684,2.631579,28.947368,21.052632,80.131579,2020-01-01,Oaxaca,Oaxaca
1106,20,Oaxaca,20130,San Dionisio del Mar,Población indígena,3848,85.971489,38.12038,28.907075,80.253432,23.231257,88.806758,36.034847,86.926082,2020-01-01,Oaxaca,Oaxaca
1107,20,Oaxaca,20131,San Dionisio Ocotepec,Población indígena,12425,93.680139,40.840715,48.885209,90.007856,29.234026,76.467953,13.319114,94.799318,2020-01-01,Oaxaca,Oaxaca
1108,20,Oaxaca,20132,San Dionisio Ocotlán,Población indígena,149,53.842857,22.857143,30.714286,65.0,-999.0,50.714286,-999.0,60.764286,2020-01-01,Oaxaca,Oaxaca
1109,20,Oaxaca,20133,San Esteban Atatlahuca,Población indígena,3826,93.356438,28.392429,8.531058,75.366569,32.817915,91.095708,-999.0,94.97494,2020-01-01,Oaxaca,Oaxaca
1110,20,Oaxaca,20134,San Felipe Jalapa de Díaz,Población indígena,33257,97.318661,43.387741,38.145414,91.760052,36.073895,91.93844,67.81054,97.553037,2020-01-01,Oaxaca,Oaxaca
1111,20,Oaxaca,20135,San Felipe Tejalápam,Población indígena,543,77.964684,29.739777,48.141264,80.855019,-999.0,84.200743,-999.0,79.10223,2020-01-01,Oaxaca,Oaxaca
1112,20,Oaxaca,20136,San Felipe Usila,Población indígena,15098,92.059668,23.045044,35.979102,86.206811,17.472061,98.168435,40.251035,92.196885,2020-01-01,Oaxaca,Oaxaca
1113,20,Oaxaca,20137,San Francisco Cahuacuá,Población indígena,96,92.410526,34.736842,-999.0,56.842105,-999.0,88.421053,-999.0,92.410526,2020-01-01,Oaxaca,Oaxaca
1114,20,Oaxaca,20138,San Francisco Cajonos,Población indígena,433,76.872038,37.440758,17.535545,67.535545,-999.0,19.194313,-999.0,82.201422,2020-01-01,Oaxaca,Oaxaca
1115,20,Oaxaca,20139,San Francisco Chapulapa,Población indígena,424,96.306024,53.73494,12.771084,79.518072,27.228916,46.024096,53.012048,96.614458,2020-01-01,Oaxaca,Oaxaca
